# scripts/find-diagrams.py "ScottDomains/papers/Gunter Scott 1990.pdf" 1 44
# Candidate diagram regions, in pixels at 100 dpi. Physical page numbering.
#
# These are CANDIDATES, not diagrams. The detector separates sparse rows from
# body-text rows by ink density, so it also fires on displayed equations and
# multi-line math, which are sparse too. Filtering to height >= 200 leaves eight,
# and those eight include all four numbered figures (pages 5, 21, 32, 44). The
# rest of the list still needs eyes: the paper has small inline pictures, and a
# short region is not automatically an equation.
#
# To convert to PDF points: multiply by 72/100.
#
page	y0	y1	x0	x1	height	rows_inked
1	255	301	359	490	46	29
1	324	402	124	681	78	32
5	111	514	100	747	403	181
5	859	929	101	721	70	36
5	936	998	100	618	62	39
6	537	618	100	746	81	59
6	678	800	100	737	122	90
7	116	209	102	746	93	30
7	216	294	119	697	78	32
7	301	401	119	705	100	45
7	484	626	101	700	142	59
7	886	1004	102	591	118	62
8	106	249	101	748	143	69
8	688	849	101	748	161	118
8	956	1005	101	586	49	30
9	210	350	101	747	140	107
10	751	884	119	663	133	57
11	188	268	111	737	80	35
11	488	571	100	734	83	51
11	578	629	101	748	51	27
11	956	1005	100	682	49	32
13	740	833	100	743	93	32
13	901	969	101	553	68	37
14	425	511	101	472	86	52
14	681	788	162	519	107	83
14	789	904	101	706	115	78
15	404	470	101	737	66	27
15	588	765	101	534	177	116
15	838	921	100	542	83	33
16	106	342	101	748	236	137
16	349	406	293	555	57	26
16	435	542	100	717	107	54
17	655	724	100	743	69	33
17	731	800	101	736	69	34
17	807	876	100	536	69	35
18	854	977	100	605	123	70
19	188	259	102	749	71	49
19	312	480	101	743	168	110
19	547	626	275	531	79	70
19	777	928	101	506	151	100
20	233	386	101	746	153	101
20	415	641	101	519	226	163
20	642	758	100	524	116	81
20	840	897	207	555	57	26
20	898	979	101	555	81	33
21	224	437	124	696	213	102
21	534	616	121	699	82	48
21	623	708	100	737	85	49
21	782	959	101	600	177	113
22	210	435	102	733	225	161
22	641	742	119	385	101	32
22	820	921	119	390	101	33
26	235	305	101	674	70	33
26	858	912	101	748	54	26
27	683	772	102	747	89	33
29	250	317	102	748	67	26
29	462	665	99	728	203	124
30	106	293	101	748	187	112
32	106	451	101	746	345	256
33	227	297	101	724	70	36
34	854	907	101	746	53	30
35	232	311	298	511	79	65
35	487	561	101	733	74	27
36	425	488	101	747	63	35
36	674	836	101	587	162	75
37	233	340	101	692	107	31
37	344	430	102	713	86	36
37	476	562	120	602	86	35
37	689	774	120	485	85	34
39	116	263	101	747	147	47
40	189	271	100	715	82	45
41	165	262	263	532	97	42
41	620	773	101	734	153	106
42	620	705	120	482	85	36
43	690	767	101	743	77	36
43	836	919	101	632	83	44
44	106	803	101	748	697	94
#
# Known figure captions, located by grepping the caption text per page:
#   Figure 1  Examples of cpo's                                  page  5
#   Figure 2  The lift of a cpo                                  page 21
#   Figure 3  Posets that are not Plotkin orders (a, b, c)       page 32
#   Figure 4  A domain for representing operators on bifinites   page 44
