number	count	declarations
1	1	theorem1
2	1	theorem2
3	3	theorem3,theorem3_existsUnique,theorem3_statement_eq_eq_kleeneOperator_op_statement
4	0	—
5	0	—
6	1	theorem6
7	8	theorem7_arrow,theorem7ArrowRecursive_of_scottHomC.,theorem7ArrowRecursive_of_stepFunctionsDecidable.,theorem7_strict,theorem7_strict_ofEnum,theorem7StrictRecursive_of_residue.,theorem7StrictRecursive_of_strictHomC.,theorem7StrictRecursive_of_strictStepFunctionsDecidable.
8	0	—
9	8	lem9_1,lem9_2,lem9_3,lem9_3_printed_false,lem9_4,lem9_5,lem9_5_printed_false,lem9_6
10	7	lem10_lift,lem10_prod,lem10_separated,lem10_smash,lem10_strict,lem10_sum,lemma10
11	4	thm11,thm11_at_U,thm11_converse,thm11_hoare
12	4	thm12,thm12_hoare,thm12_plotkin,thm12_smyth
13	2	lem13_hoare,lem13_smyth
14	3	thm14,thm14_converse,thm14_forward
15	1	prop15
16	4	thm16,thm16_first_conjunct,thm16_positive,thm16_positive_isEmbeddingProjectionPair
17	13	lem17_fun,lem17_fun_imp_old,lem17_hoare,lem17_lift,lem17_plotkin,lem17_prod,lem17_separated,lem17_smash,lem17_smyth,lem17_strictFun,lem17_strictFun_imp_old,lem17_sum,lemma17
18	7	thm18,thm18_of_cor136,thm18_of_cor136_via_thm137Chains,thm18_of_propertyM,thm18_of_thm137_and_cor136,thm18_of_thm137Chains_and_cor136,thm18_viaProjections_of_thm137_and_cor136
19	1	lem19
20	1	lem20
21	2	thm21,thm21_image
22	3	lemma22,thm22,thm22_of_isCompactlyGenerated
23	1	lem23
24	3	lem24,lemma24_MPair,lemma24_Step
25	4	exists_lambdaModel_of_thm25,thm25,thm25_isUniversal,thm25_powerset
26	5	not_thm26Printed_of_two_zero_arities,not_thm26_statement_of_zero_arity,thm26,thm26_retract,thm26_subalgebra
27	2	thm27,thm27_of_isNormallyRepresented
28	13	lemma28AtU,lemma28AtU_iff,lemma28AtU_of,lemma28AtU_of',lemma28AtU_of'',lemma28AtU_of_universal,lemma28_of,lemma28_of_universal,lemma30_iff_lemma28_and_plotkin,not_forall_lemma28,not_forall_lemma28_bcd,not_lemma28_flatEmpty,not_lemma28_of_subsingleton
29	20	eight_conjuncts_of_thm29Normal,exists_embeddingProjectionPair_of_thm29Normal,five_conjuncts_of_thm29Normal,lemma30AtV_of_thm29Normal,lemma30AtV_of_thm29Normal_of_arrows,not_thm29NormalWithoutDomain,not_thm29Second,not_thm29SecondAtDomains_and_boundedComplete_V,rep_fun_V_of_thm29Second,rep_lift_V_of_thm29Normal,rep_prod_V_of_thm29Normal,rep_strictFun_V_of_thm29Second,thm29,thm29Normal_finiteBasis,thm29Normal_finiteBasis_of_thm29Normal,thm29Normal_of_hasFiniteExtensions,thm29Normal_of_hasNormalRealizations,thm29SecondAtDomains_of_hasNormalRealizations,thm29SecondAtDomains_of_thm29Normal,thm29SecondAtDomains_of_thm29Second
30	8	lem30Arrow_iff,lem30Arrow_of_lemma30AtV,lemma30AtV_iff,lemma30AtV_of_thm29Normal,lemma30AtV_of_thm29Normal_of_arrows,lemma30_iff_lemma28_and_plotkin,lemma30_of,not_forall_lemma30
